dimensions : physiques / acteurs / concepts / rapports;niveau;nombre;Type de source;Nb de source;Type de destination;Nb de destination;Type de prédicat;Nb de prédicat;complexité
Physique;1;3;;;;;;;3
;2;2;;;;;;;4
Acteur;1;1;;;;;;;1
Concept;1;3;;;;;;;3
;2;3;;;;;;;6
Rapport;;2;acteur;1;physique;1;physique;1;5
;;2;acteur;1;concept;2;concept;2;7
;;1;acteur;1;concept;1;;0;2
;;;;;;;;;31
